epoch,train_mse,val_mae_kcal
266,0.015347,18.2970
267,0.015648,17.7275
268,0.015284,17.0255
269,0.015683,16.6060
270,0.015281,17.2435
271,0.015923,18.1674
272,0.016149,17.8575
273,0.016509,17.4119
274,0.017889,17.8466
275,0.015172,17.5046
276,0.015767,18.0326
277,0.016046,17.7606
278,0.015239,16.8984
279,0.015175,18.0034
280,0.015651,18.8101
281,0.015229,16.5534
282,0.015855,17.6278
283,0.015794,17.9631
284,0.015765,18.5414
285,0.015630,17.5355
286,0.016069,18.9391
287,0.015143,17.0350
288,0.015252,17.8835
289,0.015632,18.4236
290,0.015507,19.1360
291,0.015742,17.3831
292,0.015979,18.2711
293,0.015515,18.3210
294,0.016785,18.9217
295,0.015219,17.1188
296,0.015192,18.5408
297,0.017871,18.5512
298,0.016118,17.5855
299,0.015532,18.4598
300,0.015355,21.5488
301,0.016690,18.1675
302,0.016222,17.6776
303,0.015541,18.4436
304,0.015292,17.6363
305,0.015248,17.1676
306,0.015502,17.8854
307,0.015588,18.1468
308,0.016714,19.9577
309,0.018206,19.0254
310,0.015084,18.0391
311,0.015128,16.9780
312,0.016308,18.5011
313,0.015605,17.3098
314,0.015321,17.3874
315,0.015232,18.9715
316,0.015269,17.2338
317,0.015583,17.8425
318,0.015342,17.5294
319,0.015518,17.6644
320,0.015087,19.4295
321,0.015916,18.9877
322,0.015651,17.1057
323,0.016322,32.5978
324,0.017198,19.9966
325,0.015257,17.0637
326,0.016268,18.1532
327,0.015397,17.4108
328,0.015096,17.2710
329,0.015582,16.8409
330,0.014819,18.6618
331,0.017798,17.8237
332,0.015031,18.6518
333,0.015813,17.5339
334,0.015580,17.4363
335,0.015619,17.9032
336,0.015215,16.9842
337,0.015575,17.1516
338,0.015784,17.4657
339,0.015254,19.1650
340,0.018374,18.3654
341,0.015724,17.9745
342,0.015571,21.1048
343,0.015727,18.1517
344,0.016376,21.8821
345,0.015967,17.7728
346,0.015725,17.3148
347,0.015158,17.2166
348,0.015112,17.2851
349,0.015815,17.4495
350,0.014880,17.2199
351,0.015561,17.1688
352,0.015210,17.5333
353,0.015396,18.0922
354,0.015109,17.5734
355,0.015212,18.5469
356,0.017296,16.8793
357,0.015365,18.4796
358,0.014852,17.4090
359,0.016005,17.8049
360,0.015262,17.3440
361,0.015474,17.2172
362,0.014875,20.2480
363,0.015102,21.0212
364,0.016847,18.0768
365,0.015460,17.0553
366,0.014944,18.1300
367,0.017156,18.8322
368,0.015684,18.1479
369,0.014934,18.3377
370,0.015037,19.3821
371,0.015095,17.4138
372,0.015379,17.7409
373,0.015795,17.4537
374,0.014971,17.7175
375,0.015560,17.2288
376,0.015009,18.3620
377,0.015012,17.2009
378,0.015872,17.7799
379,0.015434,18.7448
380,0.015243,19.2455
381,0.015315,17.0854
382,0.015209,19.9443
383,0.015621,19.8782
384,0.017397,18.8689
385,0.015756,16.7929
386,0.014523,19.3136
387,0.016035,17.8261
388,0.016067,17.9967
389,0.014917,18.0030
390,0.014898,17.3252
391,0.015434,18.3524
392,0.014813,16.7590
393,0.016046,17.7389
394,0.015430,17.2621
395,0.016224,20.4302
396,0.015943,18.2750
397,0.015322,17.8775
398,0.014859,17.8547
399,0.015344,21.2711
400,0.016295,18.8707
