epoch,train_mse,val_mae_kcal
266,0.016145,17.3304
267,0.015788,17.9414
268,0.015780,17.5599
269,0.015837,17.4342
270,0.015696,19.0167
271,0.016028,18.1045
272,0.015802,19.5192
273,0.016175,17.1693
274,0.015972,17.9915
275,0.015707,18.5122
276,0.015837,18.5530
277,0.015795,17.7704
278,0.016204,17.7071
279,0.015777,18.0111
280,0.015569,17.2104
281,0.015870,17.3560
282,0.015937,17.6347
283,0.015803,17.2346
284,0.015878,17.7409
285,0.015542,18.3794
286,0.015862,18.3380
287,0.015801,18.7544
288,0.015965,17.9791
289,0.015704,17.5832
290,0.015644,17.5531
291,0.015427,17.5491
292,0.016298,17.2764
293,0.015910,17.7654
294,0.015582,17.7919
295,0.015575,18.8532
296,0.015792,18.0412
297,0.015720,19.4708
298,0.015748,18.3392
299,0.015795,17.5334
300,0.015594,17.9009
301,0.015515,17.4595
302,0.015742,17.2428
303,0.015622,17.1314
304,0.015334,17.2748
305,0.015520,18.3320
306,0.015602,17.8450
307,0.015681,17.1031
308,0.015714,17.8099
309,0.015654,17.1977
310,0.015627,17.2749
311,0.015426,17.5694
312,0.015385,18.7437
313,0.015764,17.0880
314,0.015622,18.6253
315,0.015577,17.9116
316,0.015909,17.5164
317,0.015639,17.1461
318,0.015712,18.0140
319,0.015663,20.3472
320,0.015693,17.5310
321,0.015828,18.8479
322,0.015545,18.8176
323,0.015598,17.6326
324,0.015489,17.8610
325,0.015344,17.3077
326,0.015421,17.4994
327,0.015250,18.1233
328,0.015428,17.4443
329,0.015556,17.4585
330,0.015413,18.0034
331,0.015543,17.5575
332,0.015356,17.9177
333,0.015692,18.1075
334,0.015551,17.1387
335,0.015117,18.2838
336,0.015539,18.7713
337,0.015366,17.6948
338,0.015569,17.1562
339,0.015523,17.7647
340,0.015202,19.4505
341,0.015811,17.3416
342,0.015538,17.2666
343,0.015433,17.5491
344,0.015316,18.2842
345,0.015273,18.3475
346,0.015459,17.8023
347,0.015537,18.1897
348,0.015474,17.2234
349,0.015277,17.7791
350,0.015527,19.0020
351,0.015586,17.4244
352,0.015426,17.9044
353,0.015482,18.0014
354,0.015280,17.3356
355,0.015201,17.1704
356,0.015486,18.0936
357,0.015398,17.5886
358,0.015231,17.4983
359,0.015426,17.6735
360,0.015505,17.8784
361,0.015359,17.0068
362,0.015445,17.4580
363,0.015415,17.7959
364,0.015190,17.6819
365,0.015281,17.5329
366,0.015357,17.8496
367,0.015281,17.6390
368,0.015203,17.4854
369,0.015541,17.4220
370,0.015425,17.8043
371,0.015283,18.4098
372,0.015379,17.4030
373,0.015515,17.3144
374,0.015197,17.5023
375,0.015202,17.5959
376,0.015209,17.2561
377,0.015223,17.6391
378,0.015355,18.0645
379,0.015400,18.2942
380,0.015296,17.3160
381,0.015228,16.9455
382,0.015299,17.1393
383,0.015183,17.8144
384,0.015498,18.3474
385,0.015224,18.0712
386,0.015167,18.3229
387,0.015316,17.7980
388,0.015172,17.7820
389,0.015324,17.2931
390,0.015215,17.2095
391,0.015394,17.1623
392,0.015239,17.4090
393,0.015250,17.8391
394,0.015221,17.8667
395,0.015142,17.5216
396,0.015236,17.1316
397,0.015185,17.7445
398,0.015236,18.4780
399,0.015342,17.6373
400,0.015109,17.4045
